Index,Gender,Resp1,Resp2,Resp3,Resp4,CorrAnswer
0,M,panicked,jealous,arrogant,hateful,panicked
1,M,playful,comforting,irritated,bored,playful
2,M,upset,terrified,arrogant,annoyed,upset
3,F,desire,joking,flustered,convinced,desire
4,M,insisting,joking,amused,relaxed,insisting
5,M,worried,irritated,sarcastic,friendly,worried
6,F,fantasizing,aghast,impatient,alarmed,fantasizing
7,M,uneasy,apologetic,friendly,dispirited,uneasy
8,M,despondent,relieved,shy,excited,despondent
9,F,preoccupied,annoyed,hostile,horrified,preoccupied
10,M,cautious,insisting,bored,aghast,cautious
11,M,regretful,terrified,amused,flirtatious,regretful
12,M,sceptical,indifferent,embarassed,dispirited,sceptical
13,M,anticipating,decisive,threatening,shy,anticipating
14,M,accusing,irritated,disappointed,depressed,accusing
15,F,contemplative,flustered,encouraging,sympathetic,contemplative
16,M,thoughtful,irritated,encouraging,sympathetic,thoughtful
17,F,doubtful,affectionate,playful,aghast,doubtful
18,F,decisive,amused,aghast,bored,decisive
19,F,tentative,arrogant,grateful,sarcastic,tentative
20,M,friendly,dominant,guilty,horrified,friendly
21,F,fantasizing,embarassed,confused,panicked,fantasizing
22,F,preoccupied,grateful,insisting,imploring,preoccupied
23,M,defiant,contented,apologetic,curious,defiant
24,M,pensive,irritated,excited,hostile,pensive
25,F,interested,panicked,incredulous,despondent,interested
26,M,hostile,alarmed,shy,anxious,hostile
27,F,cautious,joking,arrogant,reassuring,cautious
28,F,interested,joking,affectionate,contented,interested
29,F,reflective,impatient,aghast,irritated,reflective
30,F,flirtatious,grateful,hostile,disappointed,flirtatious
31,F,confident,ashamed,bewildered,alarmed,confident
32,M,serious,ashamed,bewildered,alarmed,serious
33,M,concerned,embarassed,guilty,fantasizing,concerned
34,F,distrustful,aghast,baffled,terrified,distrustful
35,F,nervous,puzzled,insisting,contemplative,nervous
36,M,suspicious,ashamed,nervous,indecisive,suspicious
